Question,Numbers,Equation,Answer,group_nums,Body,Ques,Type,Variation Type,id
if each bus have number0 rows of seats and each row of seats can accommodate number1 children how many children can each bus accommodate ?,[9. 4.],['*' 'number0' 'number1'],36.0,[ 1  3  4  5  9 14 15 16 18 21 22 23],if each bus have number0 rows of seats and each row of seats can accommodate number1 children,how many children can each bus accommodate ?,,,2230
at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds . how many different kinds of birds did the children see from the bird cages ?,[5. 8.],['*' 'number0' 'number1'],40.0,[ 1  2 33 34 35  9 10 11 13 14 15 16 17 18],at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds .,how many different kinds of birds did the children see from the bird cages ?,,,2231
at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections how many types of eagles did the children see in total ?,[6. 3.],['*' 'number0' 'number1'],18.0,[ 2  3 38 39 40  7 14 49 50 51 22 23 24 29],at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections,how many types of eagles did the children see in total ?,,,2232
their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit . how much time did they spend going through the museum ?,[7. 9.],['*' 'number0' 'number1'],63.0,[34 35 36  7 15 16 17 18 19 20 21 24],their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit .,how much time did they spend going through the museum ?,,,2233
annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks how many houses are there in her village ?,[5. 9.],['*' 'number0' 'number1'],45.0,[ 3 43 44 45 46 16 19 52 53 54 60 61 62],annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks,how many houses are there in her village ?,,,2234
she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block how many candies will she receive from each block ?,[7. 5.],['*' 'number0' 'number1'],35.0,[ 3 41 42 43 12 14 19 20 21 25 29 30 31],she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block,how many candies will she receive from each block ?,,,2235
she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks how many children will go trick or treating in annie 's village ?,[6. 9.],['*' 'number0' 'number1'],54.0,[ 2 36  5 37 38  8 12 15 18 19 20 22 24 25 26],she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?,,,2236
annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block how much time would it take for her to finish trick or treating ?,[9. 8.],['*' 'number0' 'number1'],72.0,[ 4 38 39 40 10 11 12 22 23 24 26],annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block,how much time would it take for her to finish trick or treating ?,,,2237
finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1 how much did she spend on all the costumes ?,[4. 2.],['*' 'number0' 'number1'],8.0,[32  4 39 43 44 45 14 16 51 52 53 29 30 31],finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1,how much did she spend on all the costumes ?,,,2238
being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots how many flying robots does michael have ?,[4. 3.],['*' 'number0' 'number1'],12.0,[ 2  4  5  6  7  8 12 15 16 17 18 23 24 25],being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?,,,2239
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2 how much should tom pay ?,[1. 3. 3.],['*' 'number1' 'number2'],9.0,[32 10 11 12 46 47 48 50 51 52 30 31],tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2,how much should tom pay ?,,,2240
before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots . how many robots does tom have in his collection ?,[6. 7.],['*' 'number0' 'number1'],42.0,[ 1  5 37 38 39 17 18 19 23 27 28 29],before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots .,how many robots does tom have in his collection ?,,,2241
michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ) what is the total value of money does she have in nickels ?,[ 1. 20.  5.],['*' 'number1' 'number2'],100.0,[ 5 72 73 74 51 52 53 22 23 59 60 61],michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ),what is the total value of money does she have in nickels ?,,,2242
daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep how many sheep do they have in total ?,[ 1.  3. 20.],['*' 'number1' 'number2'],60.0,[64 34 35  2 70 71 72 10 14 18 54 55 56 60 62 63],daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep,how many sheep do they have in total ?,,,2243
ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd . how many cows do they have in total if there are number1 cow herds in the farm ?,[40.  8.],['*' 'number0' 'number1'],320.0,[ 1  5 42 43 44 45 10 46 47 48 24 25 26 28],ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd .,how many cows do they have in total if there are number1 cow herds in the farm ?,,,2244
both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop . how many chickens do they have in total ?,[ 9. 60.  1.],['*' 'number0' 'number1'],540.0,[32 33 34 35 36 37  1  5 44 13 45 46 23 24 25 26],both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .,how many chickens do they have in total ?,,,2245
ben was also given number0 trays of eggs to examine . if each tray has number1 eggs how many eggs did ben examine in total ?,[ 7. 10.],['*' 'number0' 'number1'],70.0,[ 3  4  5  7 11 12 14 15 16 22 23 24],ben was also given number0 trays of eggs to examine . if each tray has number1 eggs,how many eggs did ben examine in total ?,,,2246
after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres . what is the total area of the farm ?,[ 5. 60.],['*' 'number1' 'number0'],300.0,[32 11 12 13 15 21 22 23 30 31],after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres .,what is the total area of the farm ?,,,2247
jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes how many minutes of sleep did she have ?,[ 8. 60.],['*' 'number0' 'number1'],480.0,[38 39 40  9 16 49 50 51 57 58 59],jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes,how many minutes of sleep did she have ?,,,2248
she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 cents how much did jenny spend for her breakfast ?,[ 5. 30.],['*' 'number0' 'number1'],150.0,[ 1 36  5 37 38 15 16 17 24 28 29 30],she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 cents,how much did jenny spend for her breakfast ?,,,2249
to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids . how many kids in total can ride the school bus ?,[20.  4.],['*' 'number0' 'number1'],80.0,[32 33  1  6 42 43 44 20 21 22 26 31],to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids .,how many kids in total can ride the school bus ?,,,2250
when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms . how many classrooms does the school have ?,[ 9. 30.],['*' 'number0' 'number1'],270.0,[ 1  6 12 13 14 15 16 17 18 24 25 26],when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms .,how many classrooms does the school have ?,,,2251
she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers . how many teachers are there in total ?,[ 7. 20.],['*' 'number0' 'number1'],140.0,[ 1 35  4  5  6 36 37 14 18 19 20 25 27 28 29],she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers .,how many teachers are there in total ?,,,2252
stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall how tall is sky falls ?,[ 1. 20.  9.],['*' 'number1' 'number2'],180.0,[64 65 34 35 36 66 70 71 72 48 49 50],stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tall,how tall is sky falls ?,,,2253
when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual . how many minutes did it take stanley to get to the top ?,[30.  7.],['*' 'number0' 'number1'],210.0,[ 1  2  5 39 40 41 18 19 20 56 57 58],when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual .,how many minutes did it take stanley to get to the top ?,,,2254
after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city how far is the rocky mist from the city ?,[50.  8.],['*' 'number0' 'number1'],400.0,[41 42 43 16 17 18 29 30 31],after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city,how far is the rocky mist from the city ?,,,2255
before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1 how much did he spend for tires in total ?,[ 4. 60.],['*' 'number0' 'number1'],240.0,[33  2 34 35 11 12 20 21 22 23 25 26 27],before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1,how much did he spend for tires in total ?,,,2256
it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each . how many flowers did he buy for the nursing home ?,[ 3. 90.],['*' 'number0' 'number1'],270.0,[ 1 35 36 37 39 40 41 42 51 52 53],it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each .,how many flowers did he buy for the nursing home ?,,,2257
vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each how many people are working for the party ?,[ 5. 50.],['*' 'number0' 'number1'],250.0,[32  2  5 38 39 40 26 27 28 29 30 31],vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each,how many people are working for the party ?,,,2258
after the day they were able to make number0 institutions happy . if each institution has number1 people . how many people were made happy by the mayor and vice-mayor ?,[ 6. 80.],['*' 'number0' 'number1'],480.0,[ 1  3  7  8  9 13 15 16 17 27 28 29],after the day they were able to make number0 institutions happy . if each institution has number1 people .,how many people were made happy by the mayor and vice-mayor ?,,,2259
dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent how much did they pay in total ?,[ 7. 70.],['*' 'number0' 'number1'],490.0,[39 40 41 10 46 48 49 50 57 58 59],dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent,how much did they pay in total ?,,,2260
dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there how many sets of clothes did he bring ?,[30.  4.],['*' 'number0' 'number1'],120.0,[32 33 34  9 41 42 43 15 16 17 18 22],dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there,how many sets of clothes did he bring ?,,,2261
after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet how deep was the water ?,[10.  6.],['*' 'number0' 'number1'],60.0,[32 16 17 18 25 26 27 30 31],after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet,how deep was the water ?,,,2262
mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles how much would the ride cost mark ?,[ 8. 40.],['*' 'number0' 'number1'],320.0,[32 33  3 16 17 18 19 24 25 26 31],mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 miles,how much would the ride cost mark ?,,,2263
bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves how many mineral samples does he have ?,[ 1. 65.  7.],['*' 'number1' 'number2'],455.0,[ 1  2 66 67 68 60 47 48 49 14 61 52 18 19 23 59 28 29 30],bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelves,how many mineral samples does he have ?,,,2264
bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves how many books does he have in total ?,[56.  9.],['*' 'number0' 'number1'],504.0,[ 2 12 13 14 16 18 19 20 26 27 28],bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelves,how many books does he have in total ?,,,2265
bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each how much money did bryan get in total ?,[   8. 1785.],['*' 'number0' 'number1'],14280.0,[ 1  2  3  4 33 34 35 25 26 27],bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?,,,2266
it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily . how many apples are harvested every day ?,[45.  8.],['*' 'number0' 'number1'],360.0,[64  5 42 43 44 48 50 51 52 62 63],it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?,,,2267
next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants how many kilograms of strawberries can they harvest ?,[268.   7.],['*' 'number0' 'number1'],1876.0,[32  2  7 41 42 43 16 17 18 22 30 31],next on his checklist are the strawberry fields . there he found out that they can get number0 kg of fruit for every row of strawberry plants . if there are number1 rows of strawberry plants,how many kilograms of strawberries can they harvest ?,,,2268
he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day . how many sacks of oranges will they have after number1 days of harvest ?,[83.  6.],['*' 'number0' 'number1'],498.0,[32  1 33  5  7 15 16 17 18 29 30 31],he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many sacks of oranges will they have after number1 days of harvest ?,,,2269
being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day . how many drums of grapes would be filled in number2 days ?,[  1. 324.   9.],['*' 'number1' 'number2'],2916.0,[ 1 39 40 41  9 17 18 19 20 23 24 25 28],being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day .,how many drums of grapes would be filled in number2 days ?,,,2270
if lewis earns $ number0 every week during the number1 weeks of harvest . how much money does he earn during harvest season ?,[1367.    5.],['*' 'number0' 'number1'],6835.0,[ 2  3  4  5  8  9 10 20 21 22],if lewis earns $ number0 every week during the number1 weeks of harvest .,how much money does he earn during harvest season ?,,,2271
tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds how many pairs does he have in total ?,[29.  7.],['*' 'number0' 'number1'],203.0,[64  2  3  4 40 41 42  9 44 13 50 52 53 54 62 63],tyler an animal rights advocate decided to build his own animal sanctuary to protect different animals from poachers . the sanctuary was divided into different regions . the first region to be built was a bird sanctuary . initially he had number0 endangered bird species on that region . if each species has number1 pairs of birds,how many pairs does he have in total ?,,,2272
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes how many fishes does he have in total ?,[  6. 175.],['*' 'number0' 'number1'],1050.0,[32  2 11 12 13 14 16 20 21 22 23 24 30 31],another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes,how many fishes does he have in total ?,,,2273
he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it . how many saltwater animals does tyler have ?,[ 8. 64.],['*' 'number0' 'number1'],512.0,[ 1  2  3  4  6  9 11 12 13 21 22 23],he also had number0 aquariums for saltwater animals . each aquarium has number1 animals in it .,how many saltwater animals does tyler have ?,,,2274
the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles how many reptiles are living in the swamp areas ?,[  4. 356.],['*' 'number0' 'number1'],1424.0,[32 33  2  6  8 11 14 17 18 19 20 21 22 23 24 31],the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles,how many reptiles are living in the swamp areas ?,,,2275
there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet . what is the total area of the undeveloped land ?,[   3. 2435.],['*' 'number0' 'number1'],7305.0,[ 1  2  3  4  9 18 19 20 29 30 31],there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .,what is the total area of the undeveloped land ?,,,2276
it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets how much money did they spend on tickets ?,[44.  7.],['*' 'number0' 'number1'],308.0,[64 65  3  8 43 48 51 52 53 55 56 57 63],it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 tickets,how much money did they spend on tickets ?,,,2277
they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people how many people can the tent accommodate in total ?,[  4. 246.],['*' 'number0' 'number1'],984.0,[32  4  8  9 10 11 12 13 18 21 22 23 30 31],they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people,how many people can the tent accommodate in total ?,,,2278
the first act included number0 clown mobiles each stuffed with number1 clowns . how many clowns are inside all the clown mobiles combined ?,[ 5. 28.],['*' 'number0' 'number1'],140.0,[ 1  3  4  5  6  7  8  9 10 11 20 21 22],the first act included number0 clown mobiles each stuffed with number1 clowns .,how many clowns are inside all the clown mobiles combined ?,,,2279
the next act involved several jugglers . if each juggler is juggling number0 balls at a time how many balls are needed if there are number1 jugglers putting a show at the same time ?,[  6. 378.],['*' 'number0' 'number1'],2268.0,[32 33  3  4  8 11 12 13 17 24 25 26 31],the next act involved several jugglers . if each juggler is juggling number0 balls at a time,how many balls are needed if there are number1 jugglers putting a show at the same time ?,,,2280
for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathers how many feathers are needed for number1 crowns ?,[  7. 934.],['*' 'number0' 'number1'],6538.0,[ 7  8 10 11 14 18 19 20 22 28 29 30],for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathers,how many feathers are needed for number1 crowns ?,,,2281
amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours how far is sfl from the city ?,[27.  3.],['*' 'number0' 'number1'],81.0,[32 33 34 36 43 44 45 50 51 52],amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours,how far is sfl from the city ?,,,2282
when they got there they saw that sfl is already filled with people . every entrance has a long line with number0 people waiting to get in . if sfl has number1 entrances how many people in total are waiting to get in ?,[283.   5.],['*' 'number0' 'number1'],1415.0,[32  2  6 40 41 42 11 14 20 21 22 30 31],when they got there they saw that sfl is already filled with people . every entrance has a long line with number0 people waiting to get in . if sfl has number1 entrances,how many people in total are waiting to get in ?,,,2283
determined to have fun they travelled to the next amusement park happyland . if they cover a distance of number0 feet for every minute of travel and they travelled for number1 minutes how far is happyland from sfl ?,[328.   9.],['*' 'number0' 'number1'],2952.0,[35 36 37 18 19 20 22 29 30 31],determined to have fun they travelled to the next amusement park happyland . if they cover a distance of number0 feet for every minute of travel and they travelled for number1 minutes,how far is happyland from sfl ?,,,2284
when they arrived at happyland they immediately went in and bought their tickets . if each ticket cost $ number0 and they bought number1 tickets how much did they spend on tickets ?,[17.  8.],['*' 'number0' 'number1'],136.0,[ 3  8 10 15 18 19 20 22 23 24 29 30 31],when they arrived at happyland they immediately went in and bought their tickets . if each ticket cost $ number0 and they bought number1 tickets,how much did they spend on tickets ?,,,2285
he also has a section filled with short story booklets . if each booklet has number0 pages and there are number1 booklets in the short story section how many pages will jack need to go through if he plans to read them all ?,[ 9. 49.],['*' 'number0' 'number1'],441.0,[ 3  8 40 41 42 12 14 15 16 17 19 20 21],he also has a section filled with short story booklets . if each booklet has number0 pages and there are number1 booklets in the short story section,how many pages will jack need to go through if he plans to read them all ?,,,2286
number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages . how many pages does the encyclopedia have in total ?,[  1.   7. 566.],['*' 'number1' 'number2'],3962.0,[ 0  1  2 32  4 33  6  7 34 17 18 19 20 21 22 23 24],number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages .,how many pages does the encyclopedia have in total ?,,,2287
the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 books how many books does he have in the classics section ?,[ 6. 33.],['*' 'number0' 'number1'],198.0,[33 34 35  7 12 16 17 18 19 20 21 23 24 25],the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 books,how many books does he have in the classics section ?,,,2288
having this kind of collection made jack a fast reader . if he can read number0 books in a day how many books can he read in a year ( a year = number1 days ) ?,[  9. 365.],['*' 'number0' 'number1'],3285.0,[32 33 34  3 35 10 14 15 16],having this kind of collection made jack a fast reader . if he can read number0 books in a day,how many books can he read in a year ( a year = number1 days ) ?,,,2289
lexie has a lot of art materials . she needs to organize all these materials into containers . she counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . every crayon box can contain number1 crayons . how many crayon boxes does she need ?,[80.  8.],['/' 'number0' 'number1'],10.0,[ 1  4 38  9 42 43 44 50 51 52 27 28 29],lexie has a lot of art materials . she needs to organize all these materials into containers . she counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . every crayon box can contain number1 crayons .,how many crayon boxes does she need ?,,,2290
a pile of clean white paper was stacked in the corner of her room . she decided to place these papers in paper envelopes which can contain number0 white papers . how many paper envelopes does she need if she has number1 clean white papers ?,[ 10. 120.],['/' 'number1' 'number0'],12.0,[ 3 40 41 42 11 44 13 12  9 43 26 27 28 29],a pile of clean white paper was stacked in the corner of her room . she decided to place these papers in paper envelopes which can contain number0 white papers .,how many paper envelopes does she need if she has number1 clean white papers ?,,,2291
beside the pile of clean white paper was a stack of number0 sheets of used paper . she wants to place it in boxes for recycling . if every box can contain number1 sheets how many boxes does she need ?,[700. 100.],['/' 'number0' 'number1'],7.0,[32 33  4 37 38 39 10 11 12 28 31],beside the pile of clean white paper was a stack of number0 sheets of used paper . she wants to place it in boxes for recycling . if every box can contain number1 sheets,how many boxes does she need ?,,,2292
lexie 's younger brother helped pick up all the paper clips in lexie 's room . he was able to collect number0 paper clips . if he wants to distribute the paper clips in number1 boxes how many paper clips will each box contain ?,[81.  9.],['/' 'number0' 'number1'],9.0,[33 34 35  4  5 41 42 43 12 18 20 21 22 23],lexie 's younger brother helped pick up all the paper clips in lexie 's room . he was able to collect number0 paper clips . if he wants to distribute the paper clips in number1 boxes,how many paper clips will each box contain ?,,,2293
christian and his parents went to mt . falton national park for the weekend . they were welcomed warmly by the rangers who invite volunteers and call them `` earth keepers '' . the junior ranger asked christian to help him place number0 seedlings in packets . if every packet needs to contain number1 seeds how many packets do they need ?,[420.   7.],['/' 'number0' 'number1'],60.0,[58  5 41 42 43 48 52 53 54 26 59 60],christian and his parents went to mt . falton national park for the weekend . they were welcomed warmly by the rangers who invite volunteers and call them `` earth keepers '' . the junior ranger asked christian to help him place number0 seedlings in packets . if every packet needs to contain number1 seeds,how many packets do they need ?,,,2294
christian 's mother prepared lemonade . every pitcher of lemonade can serve number0 glasses . if she was able to serve number1 glasses of lemonade how many pitchers of lemonade did she prepare ?,[ 5. 30.],['/' 'number1' 'number0'],6.0,[32  5  6 11 12 13 20 21 22 30 31],christian 's mother prepared lemonade . every pitcher of lemonade can serve number0 glasses . if she was able to serve number1 glasses of lemonade,how many pitchers of lemonade did she prepare ?,,,2295
christian 's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks . if every sack can contain around number0 pieces of wood how many sacks were they able to fill if they gathered number1 pieces of wood ?,[20. 80.],['/' 'number1' 'number0'],4.0,[ 4 44 45 46 47 48 20 25 29 30 31],christian 's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks . if every sack can contain around number0 pieces of wood,how many sacks were they able to fill if they gathered number1 pieces of wood ?,,,2296
christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . if they left exactly number1 nails in every station they visited how many stations did joline and the junior ranger visit ?,[140.   7.],['/' 'number0' 'number1'],20.0,[ 2  8  9 10 40 41 42 14 25 26 27 29],christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . if they left exactly number1 nails in every station they visited,how many stations did joline and the junior ranger visit ?,,,2297
sunday morning was spent for making wood carvings which can be sold as souvenir for tourists . they were placed in shelves that can contain number0 wood carvings at a time . if number1 wood carvings were displayed how many shelves were filled with carvings ?,[ 8. 56.],['/' 'number1' 'number0'],7.0,[32 33 34 35  5  7 42 43 44 24 25 26 27],sunday morning was spent for making wood carvings which can be sold as souvenir for tourists . they were placed in shelves that can contain number0 wood carvings at a time . if number1 wood carvings were displayed,how many shelves were filled with carvings ?,,,2298
shiela has started writing a list of gifts that she plans to give to her family and friends this christmas . for her classmates she made colorful paper stars which will be placed in small clear bottles . she was able to prepare number0 paper stars . how many stars will be placed in each bottle if shiela has number1 classmates ?,[45.  9.],['/' 'number0' 'number1'],5.0,[ 1  4  5 42 43 44 45 11 54 58 59 60],shiela has started writing a list of gifts that she plans to give to her family and friends this christmas . for her classmates she made colorful paper stars which will be placed in small clear bottles . she was able to prepare number0 paper stars .,how many stars will be placed in each bottle if shiela has number1 classmates ?,,,2299
